Id,Link,Counter,File Name,Start Time,End Time,Duration,Identifier Timestamp,Identifier Coordinates,Object Involved,Cyclist Direction,Object Involved in Accident Direction,Ego Accident,Camera Position,Trimming Dimension for Resize,Time of Collision,Vulnerability Score,Abnormality,Severity Score,Fault,Right of Way,Age,Competitive Biking?,Dimensions
1,https://www.youtube.com/watch?v=W5wBRYGDnNU&t=35,1,u0,0:00:35:00,0:00:40:00,5,0:00:36:00,703 374 727 422,Car,Right,Right,0,Front Dashcam,,00:00:40:00,0.266666667,0,2,-1,0,2,0,1280x720
2,https://www.youtube.com/watch?v=xPZR2hxuNGM&t=4,1,u1,0:00:04:00,0:00:08:00,4,0:00:05:50,426 497 594 833,Car,Forwards,Right,0,Front Dashcam,"0.33, -0.67",00:00:05:00,0.466666667,0,2,1,0,2,0,1280x720
3,https://www.youtube.com/watch?v=iSPqQrhLKzM&t=2,1,u4,0:00:02:00,0:00:05:00,3,00:00:3:00,977 152 977 152,Car,Left,Forwards,1,Front Dashcam,,00:00:04:00,0.633333333,0,1,0,1,2,0,1280x720
4,https://www.youtube.com/watch?v=iSPqQrhLKzM&t=26,3,u4,0:00:26:00,0:00:33:00,7,00:00:27:00,119 157 377 776,Truck,Forwards,Forwards,0,Front Dashcam,,00:00:29:33,0.766666667,0,2,0,0,2,0,1280x720
5,https://www.youtube.com/watch?v=iSPqQrhLKzM&t=50,4,u4,0:00:50:00,0:00:55:00,5,00:00:50:05,479 295 648 555,Truck,Forwards,Left,0,Front Dashcam,,00:00:53:33,0.233333333,0,0,1,0,2,1,1280x720
6,https://www.youtube.com/watch?v=iSPqQrhLKzM&t=68,5,u4,0:01:08:00,0:01:17:00,9,00:01:08:80,401 307 552 480,Car,Right,Forwards,1,Front Dashcam,,00:01:09:00,0.633333333,0,3,1,0,2,0,1280x720
7,https://www.youtube.com/watch?v=iSPqQrhLKzM&t=91,6,u4,0:01:31:00,0:01:36:00,5,00:01:34:54,643 379 685 464,Car,Forwards,Forwards,1,Front Dashcam,"0, -1",00:01:35:00,0.533333333,1,0,0,1,-1,0,1280x720
8,https://www.youtube.com/watch?v=iSPqQrhLKzM&t=103,7,u4,0:01:43:00,0:01:49:00,6,00:01:44:45,640 392 736 515,Car,Left,Forwards,0,Front Dashcam,,00:01:47:00,0.533333333,0,1,1,1,2,0,1280x720
9,https://www.youtube.com/watch?v=iSPqQrhLKzM&t=115,8,u4,0:01:54:30,0:02:00:00,5.7,00:01:55:06,516 166 567 289,Cyclist,Forwards,Forwards,0,Cycle Cam,,00:01:56:00,0.366666667,0,2,0,0,2,1,1280x720
10,https://www.youtube.com/watch?v=iSPqQrhLKzM&t=182,9,u4,0:03:02:00,0:03:07:00,5,00:03:03:25,496 227 590 424,Sidewalk,Forwards,None,0,Front Dashcam,,00:03:03:66,0.133333333,0,1,0,-1,2,0,1280x720
